Obra;Bloco;Unidade;Id_Contrato_Vencimento;Contrato;DataVencimento;ValorPrestacao;Principal;JurosTP;Variacoes;Seguros;Descontos;Multa;JurosMora;ProRataIndice;ProRataContrato;ValorPresente;IndiceReajuste;SituacaoParcela;BoletoJM;VencimentoJM;Periodicidade;TipoContrato;TipoEmprestimo;TipoBloqueio;CRM_ProcessamentoPendente;CRM_Operacao;CRM_ParcelaId;CreatedOn;ModifiedOn;GeradoPor;IDRENEG;DataRenegociacao;ValorAbono;ValorAcrescimo;VLRABONOMULTA;VLRABONOJUROS;VLRABONOPRORATA;TX_JUROS;TX_ENCARGOS;MotivoRenegociacao
8427;5;00308E;100000001120120000000;1000000011201;2012-06-12 00:00:00.000;1772.33;1213.00;0.00;559.33;0.00;0.00;35.45;866.43;0.00;7.98;2682.19;INCC2     ;PA        ;d;d;MENSAL;PCV;PCV;20;0;I;81303BE1-0C76-E411-8D14-001DD8300004;2014-11-26 18:47:30.517;2015-09-25 02:19:52.623;d;d;d;d;d;d;d;d;d;d;d
8427;5;00308E;100000001120520000000;1000000011205;2012-10-01 00:00:00.000;10.16;0.00;0.00;10.16;0.00;0.00;0.20;4.15;0.00;0.06;14.57;IGPM2     ;VR        ;d;d;UNICA;PCV;PCV;20;0;I;88303BE1-0C76-E411-8D14-001DD8300004;2014-11-26 18:47:30.520;2015-07-30 00:42:38.840;d;d;d;d;d;d;d;d;d;d;d
8427;5;00308E;100000001121020000000;1000000011210;2013-03-01 00:00:00.000;583.98;377.67;22.02;184.29;0.00;0.00;11.68;213.12;0.01;4.46;813.24;IGPM2     ;PA        ;d;d;UNICA;PCV;PCV;20;0;I;8B303BE1-0C76-E411-8D14-001DD8300004;2014-11-26 18:47:30.520;2015-09-25 02:19:52.767;d;d;d;d;d;d;d;d;d;d;d
7957;3;111;100000001454720000000;1000000014547;2015-02-01 00:00:00.000;10313.58;7318.36;69.44;2925.78;0.00;0.00;206.27;6.84;0.00;0.00;10532.00;IGPM1     ;PA        ;d;d;MENSAL;PCV;PCV;d;0;I;76EEDEF5-B2AA-E411-AE26-001DD8300006;2015-02-02 02:28:49.540;2015-02-03 02:31:39.070;d;d;d;d;d;d;d;d;d;d;d
7957;3;111;100000001454720000000;1000000014547;2015-03-01 00:00:00.000;79.58;0.00;0.00;79.58;0.00;0.00;1.59;0.05;0.00;0.00;81.23;IGPM1     ;VR        ;d;d;MENSAL;PCV;PCV;d;0;I;5CB1D2F8-C0C0-E411-AE26-001DD8300006;2015-03-02 02:35:20.767;2015-03-03 02:34:40.863;d;d;d;d;d;d;d;d;d;d;d
5988;6;42;100000001586420000000;1000000015864;2014-01-01 00:00:00.000;13740.84;24012.47;9638.80;-19910.43;0.00;0.00;274.82;2206.56;0.00;0.00;16258.71;IGPM1     ;AM        ;X;2015-03-25 00:00:00.000;ANUAL;PCV;ALF;20;0;I;DC713E30-5375-E411-8D14-001DD8300004;2014-11-24 17:54:44.750;2015-03-26 01:38:45.903;d;d;d;d;d;d;d;d;d;d;d
5988;6;42;100000001586420000000;1000000015864;2015-01-01 00:00:00.000;33151.56;18992.69;4831.74;9327.13;0.00;0.00;663.03;936.62;0.00;0.00;34829.38;IGPM1     ;PA        ;X;2015-03-25 00:00:00.000;ANUAL;PCV;ALF;20;0;I;8AC10B34-5392-E411-B2D5-001DD8300006;2015-01-02 02:46:44.970;2015-03-26 01:38:45.947;d;d;d;d;d;d;d;d;d;d;d
5988;6;42;100000001586420000000;1000000015864;2015-04-01 00:00:00.000;56.74;0.00;0.00;0.00;60.25;0.00;1.13;2.13;0.00;0.27;60.27;IGPM1     ;PA        ;X;2015-07-20 00:00:00.000;ANUAL;PCV;ALF;d;0;I;17424B66-CDEF-E411-93FC-001DD8200000;2015-05-01 01:44:17.367;2015-07-21 02:00:45.557;d;d;d;d;d;d;d;d;d;d;d
5988;6;42;100000001586420000000;1000000015864;2015-05-04 00:00:00.000;21.74;0.00;0.00;0.00;22.82;0.00;0.43;0.57;0.00;0.09;22.83;IGPM1     ;PA        ;X;2015-07-20 00:00:00.000;ANUAL;PCV;ALF;d;0;I;4D805ADA-F0F2-E411-93FA-005056200003;2015-05-05 01:41:36.063;2015-07-21 02:00:45.637;d;d;d;d;d;d;d;d;d;d;d
5988;6;42;100000001586420000000;1000000015864;2015-07-01 00:00:00.000;22.46;0.00;0.00;0.00;23.03;0.00;0.45;0.07;0.00;0.05;23.03;IGPM1     ;PA        ;d;d;ANUAL;PCV;ALF;d;0;I;22CB09D6-8C20-E511-93FC-001DD8200000;2015-07-02 02:07:36.650;2015-07-10 02:18:35.403;d;d;d;d;d;d;d;d;d;d;d
