Obra;Bloco;Unidade;Empresa;SituacaoUnidade;DataVenda;ValorVenda;DataLiberacaoChaves;FormaPagamento;FaseIncorporacao;DataCessao;DataDesembolso;DataEntregaInicial;DataHabiteSe;StatusDistrato;DataChaves;IndicePreChaves;IndicePosChaves;DebitoAutomatico;SaldoDevedor;DiasAtraso;ValorAtraso;TotalAtraso;CRM_ProcessamentoPendente;CRM_Operacao;CRM_PosicaoFinanceiraId;CreatedOn;ModifiedOn;DataPrevisaoEntrega;ValorPago;ValorPagoAtualizado;TipoPagamento;DataQuitacao;ValorQuitacao;LR_TipoContrato;LR_Saldo;LR_DataVencimento;LR_Codigo;LR_DataRenegociacao;PCVF_SaldoDevedor;PCVF_TotalAtraso;PCVU_SaldoDevedor;PCVU_TotalAtraso;PCVP_SaldoDevedor;PCVP_TotalAtraso;DEC_SaldoDevedor;DEC_TotalAtraso;MOD_SaldoDevedor;MOD_TotalAtraso;LIG_SaldoDevedor;LIG_TotalAtraso;TCS_SaldoDevedor;TCS_TotalAtraso;LOT_SaldoDevedor;LOT_TotalAtraso;CRM_ProcessamentoPendenteRepasse;ValorTotalReceberObras;ValorParcelaChaves;ValorTotalPosObra;DataUltimaPrestacaoPaga;DataUltimaAlteracao
6;3;32;3;Q ;2012-09-01 00:00:00.000;1097044.00;;2;0;;2012-09-21 00:00:00.000;1999-05-01 00:00:00.000;;;2012-09-01 00:00:00.000;IGPM1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;50AC8160-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:00.213;2016-06-01 02:30:00.770;1999-05-01 00:00:00.000;-1113495.78;-1414876.57;REP;2013-02-06 00:00:00.000;300000.00;REP;0.00;2013-01-02 00:00:00.000;1E+12;2012-11-28 00:00:00.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
6;3;241;3;Q ;2012-04-01 00:00:00.000;1167811.31;;2;0;;2012-04-13 00:00:00.000;1999-05-01 00:00:00.000;;;2012-04-01 00:00:00.000;IGPM1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;41C15F7E-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:00.220;2016-06-01 02:30:00.780;1999-05-01 00:00:00.000;-1178765.34;-1578280.33;REP;2012-05-30 00:00:00.000;1111754.14;REP;0.00;2012-06-25 00:00:00.000;1E+12;2012-05-07 00:00:00.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;1;84;41;Q ;2006-03-01 00:00:00.000;46500.01;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1994-07-13 00:00:00.000;;2006-03-01 00:00:00.000;IGPM1     ;IGPM1     ;;0.00;0;0.00;0.00;1;U;BE2BF803-EFA4-E511-93FF-001DD8200008;2014-11-24 17:40:10.457;2021-05-24 01:00:24.927;2000-01-01 00:00:00.000;0.00;0.00;PCV;;0.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;0.00;0.00;0.00;2012-04-25 00:00:00.000;2012-04-25 00:00:00.000
12;2;44;41;Q ;2009-09-01 00:00:00.000;42833.43;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1996-07-25 00:00:00.000;;1995-03-30 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;80AB8160-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:10.463;2016-05-17 02:30:09.520;2000-01-01 00:00:00.000;-59878.63;-94657.10;PCV;2009-09-30 00:00:00.000;59878.63;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;2;64;41;Q ;2009-09-01 00:00:00.000;63720.06;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1996-07-25 00:00:00.000;;1997-02-28 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;41A126AE-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:10.470;2016-05-17 02:30:09.530;2000-01-01 00:00:00.000;-70624.11;-111643.71;PCV;2009-09-30 00:00:00.000;70624.11;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;2;101;41;Q ;2009-09-01 00:00:00.000;77643.42;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1996-07-25 00:00:00.000;;2001-02-01 00:00:00.000;IGPM1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;E5EE7966-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:10.477;2019-02-27 01:00:36.320;2000-01-01 00:00:00.000;-46577.30;-81738.08;PCV;2009-09-30 00:00:00.000;46577.30;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2019-02-01 00:00:00.000;2019-02-21 00:00:00.000
12;3;12;41;Q ;2009-09-01 00:00:00.000;61188.40;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2000-09-22 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;F1F86502-C66E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.553;2016-05-17 02:30:10.920;2000-01-01 00:00:00.000;-41400.00;-65445.78;PCV;2009-09-30 00:00:00.000;41400.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;13;41;Q ;2009-09-01 00:00:00.000;60265.46;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2000-06-20 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;A9100AC6-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.560;2016-05-17 02:30:10.930;2000-01-01 00:00:00.000;-48499.96;-76669.51;PCV;2009-09-30 00:00:00.000;48499.96;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;15;41;Q ;2009-09-01 00:00:00.000;124616.05;1999-01-01 00:00:00.000;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2001-12-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;F7E1984E-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.567;2017-10-27 01:00:18.657;2000-01-01 00:00:00.000;-119052.88;-158279.30;PCV;2017-10-26 00:00:00.000;2753.87;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2017-10-26 00:00:00.000;2017-06-02 00:00:00.000
12;3;16;41;Q ;2009-09-01 00:00:00.000;60688.04;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2001-06-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;F0F9FCD1-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.573;2020-02-29 01:00:00.760;2000-01-01 00:00:00.000;-39620.00;-74937.67;PCV;2009-09-30 00:00:00.000;39620.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2020-02-01 00:00:00.000;2020-02-28 00:00:00.000
12;3;22;41;Q ;2019-01-21 00:00:00.000;179683.00;2019-02-04 00:00:00.000;3;0;;2019-01-31 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2019-01-01 00:00:00.000;INCC2     ;IGPM2     ;;0.00;0;0.00;0.00;0;U;;2019-02-02 01:00:30.867;2019-02-05 01:00:32.707;2000-01-01 00:00:00.000;-179683.00;-179683.00;PCV;2019-01-24 00:00:00.000;179683.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2019-01-24 00:00:00.000;
12;3;38;41;Q ;2009-09-01 00:00:00.000;96927.95;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;1996-05-31 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;40E2984E-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.593;2016-05-17 02:30:11.077;2000-01-01 00:00:00.000;-77371.46;-122310.04;PCV;2009-09-30 00:00:00.000;77371.46;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;41;41;Q ;2009-09-01 00:00:00.000;120860.87;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2003-03-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;0D69895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.600;2016-05-17 02:30:11.083;2000-01-01 00:00:00.000;-140770.37;-222501.31;PCV;2009-12-01 00:00:00.000;2672.26;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;55;41;Q ;2009-09-01 00:00:00.000;93072.16;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2001-07-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;3BA126AE-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.607;2016-06-01 02:30:09.020;2000-01-01 00:00:00.000;-92701.95;-142273.12;PCV;2016-05-20 00:00:00.000;1156.30;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;83;41;Q ;2009-09-01 00:00:00.000;61263.71;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2000-02-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;B068895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.613;2016-05-17 02:30:11.117;2000-01-01 00:00:00.000;-47876.24;-75683.53;PCV;2009-09-30 00:00:00.000;47876.24;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;94;41;Q ;2009-09-01 00:00:00.000;89574.26;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;1996-07-29 00:00:00.000;INCC1     ;IPCF1     ;;0.00;0;0.00;0.00;0;U;EAD63D9C-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.620;2016-05-17 02:30:11.123;2000-01-01 00:00:00.000;-75025.51;-112794.30;PCV;2009-09-30 00:00:00.000;75025.51;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
